"Hash","Program","Program AST","Result AST"
"f45b4586b98909bc55feaaae8c181ef7248d3ea4bdaf9b0da4808038beb7da336c6891bbfb13263ed70c94e0883e20c828b01c3b1440c787ca1419657c9df983","test read IgnoreInput {} write X1","[0,[],1]","0"
"9ddbc397980979fa9e77008f1ef97071c9728c0b5339a3a5b0fa5eb3dba78e304b870a62ee7e4145d2cbfe56560a0123b48c8051373f6de1ac12569a89c2af02","test read IgnoreInput {X1 := nil} write X1","[0,[[@:=,1,[@quote,nil]]],1]","0"
"e171ea9ca16d3d0ddda26e89db26f0c5c239c671cb5658951763181c796e62eb60af43bba24ba264a11763dc9959a28acadcda46ae4ab4ad44f5f04c00fd91db","test read IgnoreInput {X2 := nil} write X1","[0,[[@:=,1,[@quote,nil]]],2]","0"
"8a9336bf22a408cd455c4b00cde67e7508be82afdd736e9775ee10d8a15b4b20cbc90a5119e6de63cc18d604f84ca41d7ed0b5c65496024d6f7dac959f6409a4","test read IgnoreInput {while nil {}} write X1","[0,[[@while,[@quote,nil],[]]],1]","0"
"8d8b9348bbc759db4176fd04c6b32cdb9ca0063111e7c5ec27dbd1f88e7cc96ec5b6666bf636aff9f3a83936ae2c4c7b55043469c16a886abfe4454733841650","test read IgnoreInput {X1 := hd nil} write X1","[0,[[@:=,1,[@hd,[@quote,nil]]]],1]","0"
"b9faaf818c78ece404521db2847b3c9775c386105a7acaa62eaa77e02420846a2e24522e0903cefc28556df5fe67fda734fa5edef60abe7e920ac64314ae456c","test read IgnoreInput {X1 := tl nil} write X1","[0,[[@:=,1,[@tl,[@quote,nil]]]],1]","0"
"a32f033489d830e48af6c420c6696525e076bcd3fd636444b08a058238cfe8a94ad717710dd643d1ef4128cd1187fb2ac14f46ecbe969c005da42eeb67208449","test read IgnoreInput {X1 := X1} write X1","[0,[[@:=,1,[@var,1]]],1]","0"
"87dabddd338f596c62bb6a609a0df2db0a87bc986230fbbb8dbdd8d0e0b6162a0fe4758658e90e43bf0e757faad359036250388ddbb148692c336e70ba5a520a","test read IgnoreInput {X1 := X3} write X1","[0,[[@:=,1,[@var,2]]],1]","0"
"7e83f87c489862482ff65ce2fbdb88ead391887d70fccf69b14b50a1f6629044b006fccb6c14691dd6f04e1cc35cfed577248f1d1d88f6b0aaba40cfc92c70bc","test read IgnoreInput {X2 := hd nil} write X1","[0,[[@:=,1,[@hd,[@quote,nil]]]],2]","0"
"4670b5ad5fb672313821705e36b6192298e36b26cdd6f3e31033a108d8f6ec3f29830747e1ec7ff4eabd51e2a1657b93114f29481fe8503f7c52ba5eed72e8f5","test read IgnoreInput {X2 := tl nil} write X1","[0,[[@:=,1,[@tl,[@quote,nil]]]],2]","0"
"bda8833701de314d70d3c540e45617e2c3124419e0efd581e42541be99b276defeba3e217af9888fdf3fdaa159beac9a7b3c7174b10634d9801d375363eb2d12","test read IgnoreInput {X2 := X2} write X1","[0,[[@:=,1,[@var,1]]],2]","0"
"2b42e8ea1acc1f0bd7b3a4f08145c877881cbdefcae0cdfc4aa58cfe7674a8befa4c402451edca39f944ea2bf0fc9f1ac04a635f17401f4da2b2dfb47b416fbc","test read IgnoreInput {X2 := X1} write X1","[0,[[@:=,1,[@var,2]]],2]","0"
"1e727e3d674a13aeb4a7679550b3ecbd04685b1f98d0ff63faef1a7fb04c141aea308f3192fe9ac73e5b4d5fc795db177f613882f84aaf58b6cd84cb0bca9843","test read IgnoreInput {X2 := X3} write X1","[0,[[@:=,1,[@var,2]]],3]","0"
"7ae7c98382f3f5aa716b278a3432ebf6d8ce8ad39a2cf72250f7e4f7ed7e871b19f82f752807ea439eb2c48589bd2c6a125b204ef16330f112db6ce5c715afdd","test read IgnoreInput {if nil {} else {}} write X1","[0,[[@if,[@quote,nil],[],[]]],1]","0"
"f41fd3ffd39d9ef21c4ab864d9400141ad454d1926f737d98374d8097d390f117cdc1bd87bc6c05cb40c384fcbeb810741a3f83958c1dfed5ddd30fe60c08f88","test read IgnoreInput {while hd nil {}} write X1","[0,[[@while,[@hd,[@quote,nil]],[]]],1]","0"
"1ffd51957ac4f8101d4728047b5b6aaa2119a6db8eaa17d04caaf99c38daa284d7d90f17b92897229a66518a3788a7312db9b76de2b9d9df5585622b1e1ca36d","test read IgnoreInput {while tl nil {}} write X1","[0,[[@while,[@tl,[@quote,nil]],[]]],1]","0"
"ea79ad96399e6714b3e9c8fb074515ba9f3dbaf59bffda7b202961c197d825677865e245ab2fc6bcbd9fb645d37a56d784130d63f5cde31d47f49ee2d573a432","test read IgnoreInput {while X1 {}} write X1","[0,[[@while,[@var,1],[]]],1]","0"
"d0564fe58c031c42bb8f78bf560072aef69bcb898025e3d55b8920ffedd468b2d8ce40149913b88f0ba60b562971c0ef501ee755c08b1af170fefc669e2c45b1","test read IgnoreInput {while X2 {}} write X1","[0,[[@while,[@var,1],[]]],2]","0"
"b41611e5cc69025e508193ee39f9d9ad902bd511a249a1ba795422d23a6062c0b0a2defd8730cf0a168562363f5f557a0a778baa8e91f9d9a9d5681829749428","test read IgnoreInput {X1 := cons nil nil} write X1","[0,[[@:=,1,[@cons,[@quote,nil],[@quote,nil]]]],1]","1"
"5395dcaa82b163c2593068f7124622e555edd84678a1096547902d9f192db5de1b0d33bfb725ff479040c02f772ef2015e882851fd1fe6049f7b1bf2a1644437","test read IgnoreInput {X1 := hd hd nil} write X1","[0,[[@:=,1,[@hd,[@hd,[@quote,nil]]]]],1]","0"
"003511b4fb8d075ffbd6c6890eab9b70fa64ec485a1c40dee41a58a3d636b235e8e2611b90d37162955ea20706421e856429ef5bfa8a4e619326354cae8fa02a","test read IgnoreInput {X1 := hd tl nil} write X1","[0,[[@:=,1,[@hd,[@tl,[@quote,nil]]]]],1]","0"
"3c256f80c2b25dc85ce08d32e60350e87345b72a1444d21e37e38ff4be7564b004a367f41e3c9e1f5e487b3cce61f383c1ece5185261fae8a4db27e950ae0a99","test read IgnoreInput {X1 := hd X1} write X1","[0,[[@:=,1,[@hd,[@var,1]]]],1]","0"
"60994a124c2722cbbee22ffc085c301eb95d580d0e67f40e36a2e3d5739276f65d9a28ad266c2549febcca781513a44f4b6f9739e137012d0c2a442b29acb721","test read IgnoreInput {X1 := hd X3} write X1","[0,[[@:=,1,[@hd,[@var,2]]]],1]","0"
"2575f4973a39a051af329e7902ee4039d28426dac9dc49a66ef9172fa5b384872893c61f40cecd633062a4fe8624d11247ae846261f40377bf6069abc40bcc45","test read IgnoreInput {X1 := tl hd nil} write X1","[0,[[@:=,1,[@tl,[@hd,[@quote,nil]]]]],1]","0"
"505ae726b2c66db2a2f208ca48b4a241fe702ee82a73e871714705d7536ad6d05ad8e5cd19375cace7678ee81d4eb7d7998c8b9cf486fd3575f1f83aaa813f36","test read IgnoreInput {X1 := tl tl nil} write X1","[0,[[@:=,1,[@tl,[@tl,[@quote,nil]]]]],1]","0"
"041c019a62f3f6b97cd553a66e13ad43abed8f66ec33573ea5ea6d8eced89478e52a292711b428a855378f9d0289b1805ce21b864c766fabafa16ef2fff43ce0","test read IgnoreInput {X1 := tl X1} write X1","[0,[[@:=,1,[@tl,[@var,1]]]],1]","0"
"87dfd4be54241931b438b238a336cf666ad1916ee1d8345ae16be3a88bcd570392bf9f2c84fb5cd55cad3ded58b3edc7fabc928bea8396e15cddbc17f7588b85","test read IgnoreInput {X1 := tl X3} write X1","[0,[[@:=,1,[@tl,[@var,2]]]],1]","0"
"241ec941f894b765480428994cdfa024f04badc0eb679ff98c4abc2220c951003eb11547a91850832e577b787f4e1be4ff9f8924cd2662d1e8ef5668edcfa1dd","test read IgnoreInput {X2 := cons nil nil} write X1","[0,[[@:=,1,[@cons,[@quote,nil],[@quote,nil]]]],2]","0"
"b23e39f38371e010dfd0e07123b81f55426cf42b0333a714681c7885e86e3737b39697bfc95c46e5ebc0fb67f4999e026af06161873e5e1f5da70e19e7ae5345","test read IgnoreInput {X2 := hd hd nil} write X1","[0,[[@:=,1,[@hd,[@hd,[@quote,nil]]]]],2]","0"
"d1a9d74cb114b208f27fce87e10bbf1d9f985f8a7b63d52daa4fa61c3b1bb7b7ebf1ef8c1e1e60d5e62f92d4ef67140ef42731e107e0a8daca0c7f0783fc23e8","test read IgnoreInput {X2 := hd tl nil} write X1","[0,[[@:=,1,[@hd,[@tl,[@quote,nil]]]]],2]","0"
"65eddc1ea5b9d7c389e2e5f3e1439614a66e3a1dfa7d0dce6c9911adee5c26bc3934b7a95722d6079b23494a78f236ac66ec57ce6da5cab154be140776ca2c23","test read IgnoreInput {X2 := hd X2} write X1","[0,[[@:=,1,[@hd,[@var,1]]]],2]","0"
"4a998d4171443aaaa831290968c45a17e12f218f0bf1d20d2604584a6d4b27dde1c0fa03ad7d20940ab403eac12ad4b40078ef233e813affffb082908ba137d4","test read IgnoreInput {X2 := hd X1} write X1","[0,[[@:=,1,[@hd,[@var,2]]]],2]","0"
"aea88f1cd622647f793520a2180a0fb5bc90496d8138c5ebf5f44f97b7b648c48b5fba37d4072a4774ac7666969af9059f1c3de08d2f5c09c2deabe2224efcb2","test read IgnoreInput {X2 := hd X3} write X1","[0,[[@:=,1,[@hd,[@var,2]]]],3]","0"
"537f67614678306479f8c9067d78da2fe47b6df1361f818b9a8e3f9f2b917729f913b485fdba6fc9ce8208bca16aa8c6975dacebb81c1955bb78e6ca25f9c291","test read IgnoreInput {X2 := tl hd nil} write X1","[0,[[@:=,1,[@tl,[@hd,[@quote,nil]]]]],2]","0"
"b7dece988c92576214f6939a0a685efd37f588c1e57ed6d879b711905e8ff39564e64f589c0ddd7e4e11658be50c30a7b2c252a546d3223ad7187f557e9dca42","test read IgnoreInput {X2 := tl tl nil} write X1","[0,[[@:=,1,[@tl,[@tl,[@quote,nil]]]]],2]","0"
"07e4a3b7855d547fe93002e2bc04ae4aa5191acc7062fd59547379cb54afdadf8c15ff3a446d8c54e56d7c00c2bae72e48b5bf898543e93051ebadc089070841","test read IgnoreInput {X2 := tl X2} write X1","[0,[[@:=,1,[@tl,[@var,1]]]],2]","0"
"503a44dbe81e1b6e9cec0f55a454fbfb4162f727297eac9e867e35ad8adc346ff6766f3ec48d9fe53b6e3c80b3c90c0cd0c0068cc08d766386f1809f53cf99af","test read IgnoreInput {X2 := tl X1} write X1","[0,[[@:=,1,[@tl,[@var,2]]]],2]","0"
"eeee8fd064911fcebb2feea2ff0bb4dbc37d43ef1081e7f4241daf25db48fadaf78982bc975268b7d7e52c3a8e11f1bfa30651544a472cdb3b05fd210e1aff6a","test read IgnoreInput {X2 := tl X3} write X1","[0,[[@:=,1,[@tl,[@var,2]]]],3]","0"
"3dfe5cd4223c331c3f372bf7e757b2a25632abcf1ad0780b65a845dbc026b813f52d94fc4144a2538c313918d91d023f979a8f73608eb986ed93ab6d9e0b2fe9","test read IgnoreInput {if hd nil {} else {}} write X1","[0,[[@if,[@hd,[@quote,nil]],[],[]]],1]","0"
"988af0b0e5f733c05a698f339ca83d3774e3bd3e4319b61d45ef668bc0d895ddadfd0f11aa5f45abea9f25fe500506aa420afd58baa74f8329c788b27f2fe0ea","test read IgnoreInput {if tl nil {} else {}} write X1","[0,[[@if,[@tl,[@quote,nil]],[],[]]],1]","0"
"cecfac963cbf2cb345b28f23cbb106e85c955e37662f6c00ea2f9618c1c3f97b41e80526d2e47c45ec4bef61a4cf1779fd84ec6eeade9e6fbcccf0c60b24b3c3","test read IgnoreInput {if X1 {} else {}} write X1","[0,[[@if,[@var,1],[],[]]],1]","0"
"9aee198bf36c15376d68e842cbecdaa6284b24de8b8b50252576309b5e98ceb4e924687492b0acf700743d00aa5e18aabf08131e57ea027e5f47dff447268a09","test read IgnoreInput {if X2 {} else {}} write X1","[0,[[@if,[@var,1],[],[]]],2]","0"
"8e0780ec73a3853282420ea264c37b1a97446192f52e748d42bb46527d9078f83178f04fa858603851481287350a73cde2e94de2aef8742f327c898a000c903e","test read IgnoreInput {while cons nil nil {}} write X1","[0,[[@while,[@cons,[@quote,nil],[@quote,nil]],[]]],1]","timeout:5s"
"bf9d945a06578bc467c7347c131ee564f8f075dab3d8a052736636e897bdbf414b05951003721d78cbea0e27f2cd99ff868546229e51837f61f63a02c9911546","test read IgnoreInput {while hd hd nil {}} write X1","[0,[[@while,[@hd,[@hd,[@quote,nil]]],[]]],1]","0"
